"Id","Nombre","Descripcion","ActorOrigen","Entradas","Salidas","Prioridad","CriterioVerif","TieneFuente","TienePrioridad","TieneCriterio","CriterioConUmbral"
"RF-01","Inicio de sesión","El sistema deberá permitir que el administrador y los trabajadores agrícolas inicien sesión mediante un usuario y una contraseña para acceder a las funcionalidades correspondientes a su rol.","Administrador, Trabajador agrícola --- R-02 (el acceso a la información dependerá del rol asignado a cada usuario).","Usuario (texto, obligatorio); contraseña (texto, obligatorio).","Sesión iniciada con acceso a las funciones del rol correspondiente, o mensaje de error.","Debe tener.","El sistema autentica al usuario y concede acceso según su rol en $\leq$ 2,0 s, verificado en el percentil 95 de 50 intentos de inicio de sesión.","True","True","True","True"
"RF-02","Gestión de parcelas","El sistema deberá permitir registrar, consultar, actualizar y eliminar la información correspondiente a las parcelas o lotes que conforman la finca.","Administrador --- EV-01 [04:02], [04:14].","Nombre o código de parcela (texto, obligatorio); ubicación (texto, obligatorio); área (numérico, obligatorio); estado (selección, obligatorio).","Parcela registrada, actualizada o eliminada, disponible para su asociación con cultivos (RF-03).","Debe tener.","La consulta de una parcela devuelve sus campos obligatorios en $\leq$ 2,0 s con 500 parcelas cargadas, verificado en el percentil 95 de 50 ejecuciones.","True","True","True","True"
"RF-03","Gestión de cultivos","El sistema deberá permitir registrar y administrar los cultivos de verde y cacao asociados a cada parcela de la finca.","Administrador --- EV-01 [03:05], [03:18].","Parcela asociada (selección, obligatorio); tipo de cultivo (selección: verde o cacao, obligatorio); variedad (texto, opcional); fecha de cultivo (fecha, obligatorio).","Cultivo registrado y asociado a la parcela seleccionada.","Debe tener.","El registro de un cultivo queda disponible para consulta asociado a su parcela en $\leq$ 2,0 s, verificado sobre 30 registros consecutivos.","True","True","True","True"
"RF-04","Registro de actividades agrícolas","El sistema deberá permitir registrar las actividades realizadas por los trabajadores agrícolas, indicando la fecha, la actividad ejecutada y la parcela donde fue desarrollada.","Trabajador agrícola --- EV-02 [00:54]; EV-01 [07:11].","Fecha (fecha, obligatorio); tipo de actividad (selección, obligatorio); parcela (selección, obligatorio).","Actividad registrada, disponible para consulta del administrador (RF-10) y para el historial de trabajador (RF-24).","Debe tener.","El 100~\% de las actividades registradas por un trabajador quedan disponibles para consulta del administrador en un máximo de 1 minuto, verificado sobre una muestra de 30 registros.","True","True","True","True"
"RF-05","Registro de cosechas","El sistema deberá permitir registrar la producción obtenida en cada cosecha, especificando el cultivo, la parcela, la cantidad recolectada, la unidad de medida y la fecha del registro.","Trabajador agrícola --- EV-01 [04:32], [04:47]; EV-02 [02:08].","Cultivo (selección, obligatorio); parcela (selección, obligatorio); cantidad (numérico, obligatorio); unidad de medida (selección, obligatorio); fecha (fecha, obligatorio).","Producción registrada e incorporada al historial de producción.","Debe tener.","El registro de una cosecha se incorpora al historial de producción en $\leq$ 2,0 s, verificado en el percentil 95 de 30 ejecuciones.","True","True","True","True"
"RF-06","Gestión de inventario de insumos","El sistema deberá permitir registrar, consultar, actualizar y eliminar la información correspondiente a los insumos agrícolas y herramientas utilizadas en la finca, incluyendo fertilizantes, fungicidas, herbicidas y herramientas de trabajo.","Administrador --- EV-01 [05:36], [05:44], [05:58], [06:14].","Nombre del insumo (texto, obligatorio); tipo (selección: fertilizante, fungicida, herbicida o herramienta, obligatorio); cantidad disponible (numérico, obligatorio); unidad de medida (selección, obligatorio).","Inventario actualizado, disponible para consulta y para el descuento por entregas (RF-22).","Debe tener.","El inventario refleja una actualización de cantidad disponible en $\leq$ 2,0 s tras el registro, verificado sobre 30 actualizaciones consecutivas.","True","True","True","True"
"RF-07","Consulta de producción por período","El sistema deberá permitir consultar la producción agrícola registrada durante un período específico, facilitando el seguimiento del rendimiento de los cultivos.","Administrador --- EV-01 [04:47], [04:54].","Fecha de inicio y fecha de fin del período (fecha, obligatorio).","Listado de producción registrada dentro del período seleccionado.","Debe tener.","La consulta de producción por período con 500 registros cargados responde en $\leq$ 2,0 s, verificado en el percentil 95 de 50 ejecuciones, y presenta únicamente los registros del período seleccionado.","True","True","True","True"
"RF-08","Planificación de actividades agrícolas","El sistema deberá permitir planificar las actividades agrícolas indicando la tarea, la fecha programada y la parcela donde será ejecutada.","Administrador --- EV-01 [06:51], [06:58].","Tarea (texto, obligatorio); fecha programada (fecha, obligatorio); parcela (selección, obligatorio).","Actividad planificada, disponible para su posterior asignación (RF-09).","Debe tener.","Una actividad planificada queda disponible para su asignación en $\leq$ 2,0 s desde su registro, verificado sobre 30 registros consecutivos.","True","True","True","True"
"RF-09","Asignación de tareas","El sistema deberá permitir asignar actividades específicas a los trabajadores agrícolas, indicando la tarea, la parcela y la fecha de ejecución.","Administrador --- EV-01 [06:58]; EV-02 [01:01], [01:18].","Trabajador (selección, obligatorio); actividad (selección, obligatorio); parcela (selección, obligatorio); fecha de ejecución (fecha, obligatorio).","Tarea asignada al trabajador seleccionado.","Debe tener.","El 100~\% de las tareas asignadas quedan disponibles para consulta del trabajador correspondiente en $\leq$ 2,0 s, verificado sobre una muestra de 30 asignaciones.","True","True","True","True"
"RF-10","Seguimiento del cumplimiento de tareas","El sistema deberá permitir consultar el estado de las actividades asignadas a los trabajadores, identificando aquellas pendientes, en proceso o finalizadas.","Administrador --- EV-01 [07:11], [07:18].","Ninguna directa; opera sobre tareas previamente asignadas (RF-09).","Estado de cada tarea asignada (pendiente, en proceso o finalizada).","Debe tener.","El estado de una tarea asignada se actualiza y refleja correctamente en $\leq$ 2,0 s desde el cambio registrado, verificado sobre 30 tareas de prueba.","True","True","True","True"
"RF-11","Generación de reportes de producción","El sistema deberá permitir generar reportes de producción por cultivo, parcela o período, facilitando el análisis de la información registrada.","Administrador --- EV-01 [08:10].","Filtros de consulta: cultivo, parcela o período (selección, al menos uno obligatorio).","Reporte de producción según los filtros seleccionados, disponible para consulta o descarga.","Debe tener.","El sistema genera el reporte de producción solicitado en $\leq$ 3,0 s con 500 registros cargados, verificado en el percentil 95 de 30 ejecuciones.","True","True","True","True"
"RF-12","Identificación de productividad por parcela","El sistema deberá permitir identificar las parcelas con mayor y menor productividad mediante el análisis de la producción registrada.","Administrador --- EV-01 [07:54], [08:02].","Período de análisis (fecha, obligatorio); vista derivada del resultado de la consulta de producción por período (RF-07).","Listado de parcelas ordenado por producción, identificando la de mayor y la de menor productividad.","Debería tener.","El sistema identifica correctamente la parcela de mayor y la de menor producción del período en el 100~\% de los casos, verificado sobre un conjunto de prueba de 20 parcelas con producción conocida.","True","True","True","True"
