"Requisito","Tipo","UmbralCuantitativo","UnidadOMetodoDefinido","CriterioBDDoCA","Verificable"
"RF-01","RF","True","True","CA asociado","True"
"RF-02","RF","True","True","CA asociado","True"
"RF-03","RF","True","True","CA asociado","True"
"RF-04","RF","True","True","CA asociado","True"
"RF-05","RF","True","True","CA asociado","True"
"RF-06","RF","True","True","CA asociado","True"
"RF-07","RF","True","True","CA asociado","True"
"RF-08","RF","True","True","CA asociado","True"
"RF-09","RF","True","True","CA asociado","True"
"RF-10","RF","True","True","CA asociado","True"
"RF-11","RF","True","True","CA asociado","True"
"RF-12","RF","True","True","Sin HU por alcance","True"
"RF-13","RF","True","True","Sin HU por alcance","True"
"RF-14","RF","True","True","CA asociado","True"
"RF-15","RF","True","True","Sin HU por alcance","True"
"RF-16","RF","True","True","Sin HU por alcance","True"
"RF-17","RF","True","True","Sin HU por alcance","True"
"RF-18","RF","True","True","Sin HU por alcance","True"
"RF-19","RF","True","True","CA asociado","True"
"RF-20","RF","True","True","Sin HU por alcance","True"
"RF-21","RF","True","True","Sin HU por alcance","True"
"RF-22","RF","True","True","Sin HU por alcance","True"
"RF-23","RF","True","True","Sin HU por alcance","True"
"RF-24","RF","True","True","CA asociado","True"
"RF-25","RF","True","True","CA asociado","True"
"RF-26","RF","True","True","CA asociado","True"
"RF-27","RF","True","True","Sin HU por alcance","True"
"RNF-01","RNF","True","True","Metrica+metodo","True"
"RNF-02","RNF","True","True","Metrica+metodo","True"
"RNF-03","RNF","True","True","Metrica+metodo","True"
"RNF-04","RNF","True","True","Metrica+metodo","True"
"RNF-05","RNF","True","True","Metrica+metodo","True"
"RNF-06","RNF","True","True","Metrica+metodo","True"
"RNF-07","RNF","True","True","Metrica+metodo","True"
"RNF-08","RNF","True","True","Metrica+metodo","True"
"RNF-09","RNF","True","True","Metrica+metodo","True"
"RNF-10","RNF","True","True","Metrica+metodo","True"
"RNF-11","RNF","True","True","Metrica+metodo","True"
"RNF-12","RNF","True","True","Metrica+metodo","True"
"RNF-13","RNF","True","True","Metrica+metodo","True"
"RNF-14","RNF","True","True","Metrica+metodo","True"
"RNF-15","RNF","True","True","Metrica+metodo","True"
