"Requisito","Tipo","FuenteVerificada","HU","EstadoTraza"
"RF-01","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-02","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-03","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-04","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-05","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-06","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-07","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-08","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-09","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-10","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-11","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-12","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-13","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-14","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-15","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-16","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-17","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-18","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-19","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-20","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-21","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-22","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-23","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RF-24","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-25","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-26","RF","True","True","Completa en este repositorio (Fuente->RF->HU->CA)"
"RF-27","RF","True","False","Parcial: sin HU por decision de alcance declarada en el ERS (sec. Historias de usuario)"
"RNF-01","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-02","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-03","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-04","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-05","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-06","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-07","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-08","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-09","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-10","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-11","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-12","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-13","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-14","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
"RNF-15","RNF","True","False","Fuente verificada (origen normativo o RF asociado); CP conceptual reside en el repositorio del equipo"
