ID;Ley;Articulo;Objetivo;Stakeholder;ID-EV;ID-RF_RNF_RD;Tipo;ID-CU;ID-HU;ID-CA;ID-Componente;ID-Mockup;Clase_UML;Estado_SD01;CP_conceptual;Criterio_verificacion_detallado;Estado_de_la_traza
TR-01;LOPDP;Art. 9 - Seguridad de los datos;Transversal (control de acceso para todas las FP);Administrador;EV-01;RF-01;RF;UC-01;HU-01;CA-01;AuthModule;MU-01;User, Administrator, Farmworker;N-A;CP-RF-01;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-02;LOPDP;Art. 5 - Principios de tratamiento;FP-03 Gestion de trabajadores;Administrador;EV-01;RF-14;RF;UC-14;HU-12;CA-12;AuthModule + UserModule;MU-09;User, Administrator;N-A;CP-RF-14;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-03;N-A;N-A;FP-02 Gestion de parcelas;Administrador;EV-01;RF-02;RF;UC-02;HU-02;CA-02;PlotCropModule;MU-02;Plot, Crop;N-A;CP-RF-02;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-04;N-A;N-A;FP-01 Gestion de cultivos;Administrador;EV-01;RF-03;RF;UC-03;HU-03;CA-03;PlotCropModule;MU-03;Plot, Crop;N-A;CP-RF-03;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-05;N-A;N-A;FP-04 Registro de actividades;Jornalero;EV-04;RF-04;RF;UC-04;HU-04;CA-04;TaskModule;MU-04;Labor;Pending -> InProgress -> (Blocked) -> Completed [SD-01];CP-RF-04;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-06;N-A;N-A;FP-04 Registro de actividades;Jornalero;EV-06;RF-04;RF;UC-04;HU-04;CA-04;TaskModule;MU-04;Labor;Pending -> InProgress -> (Blocked) -> Completed [SD-01];CP-RF-04;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-07;N-A;N-A;FP-06 Control de produccion;Administrador;EV-01;RF-05;RF;UC-05;HU-05;CA-05;ReportModule;MU-05;Report;N-A;CP-RF-05;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-08;N-A;N-A;FP-06 Control de produccion;Jornalero;EV-04;RF-05;RF;UC-05;HU-05;CA-05;ReportModule;MU-05;Report;N-A;CP-RF-05;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-09;N-A;N-A;FP-05 Gestion de inventario;Administrador;EV-03;RF-06;RF;UC-06;HU-06;CA-06;InventoryModule;MU-06;InventoryItem;N-A;CP-RF-06;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-10;N-A;N-A;FP-05 Gestion de inventario;Administrador;EV-07;RF-06;RF;UC-06;HU-06;CA-06;InventoryModule;MU-06;InventoryItem;N-A;CP-RF-06;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-11;N-A;N-A;FP-06 Control de produccion;Administrador;EV-01;RF-07;RF;UC-07;HU-07;CA-07;ReportModule;MU-05;Report;N-A;CP-RF-07;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-12;N-A;N-A;FP-04 Registro de actividades;Administrador;EV-01;RF-08;RF;UC-08;HU-08;CA-08;TaskModule;MU-07;Labor;Pending -> InProgress -> (Blocked) -> Completed [SD-01];CP-RF-08;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-13;N-A;N-A;FP-03 Gestion de trabajadores;Administrador;EV-01;RF-09;RF;UC-09;HU-09;CA-09;TaskModule;MU-07;Labor;Pending -> InProgress -> (Blocked) -> Completed [SD-01];CP-RF-09;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-14;N-A;N-A;FP-04 Registro de actividades;Jornalero;EV-04;RF-10;RF;UC-10;HU-10;CA-10;TaskModule;MU-07;Labor;Pending -> InProgress -> (Blocked) -> Completed [SD-01];CP-RF-10;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-15;N-A;N-A;FP-04 Registro de actividades;Administrador;EV-01;RF-10;RF;UC-10;HU-10;CA-10;TaskModule;MU-07;Labor;Pending -> InProgress -> (Blocked) -> Completed [SD-01];CP-RF-10;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-16;N-A;N-A;FP-07 Generacion de reportes;Administrador;EV-03;RF-11;RF;UC-11;HU-11;CA-11;ReportModule;MU-08;Report;N-A;CP-RF-11;Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA
TR-17;N-A;N-A;FP-07 Generacion de reportes;Administrador;EV-01;RF-12;RF;UC-12;N-A;N-A;ReportModule;MU-08;Report;N-A;N-A (falta CA/HU);Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);INCOMPLETA - falta HU/CA en backlog (DR-01)
TR-18;N-A;N-A;FP-07 Generacion de reportes;Administrador;EV-01;RF-13;RF;UC-13;N-A;N-A;ReportModule;MU-08;Report;N-A;N-A (falta CA/HU);Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);INCOMPLETA - falta HU/CA en backlog (DR-01)
TR-19;N-A;N-A;FP-08 Alertas inteligentes;Administrador;EV-01;RF-15;RF;UC-15;N-A;N-A;AIIntegrationModule;N-A (pendiente - Could Have);AIRecommendation, Alert;N-A;N-A (falta CA/HU);Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);COMPLETA (justificada -- DR-05, 22-08-2026: RF-15 es Could Have, interfaz diferida a proxima iteracion)
TR-20;LOPDP;Art. 7 - Consentimiento (datos del reportante);FP-08 Alertas inteligentes;Jornalero;EV-07;RF-16;RF;UC-16;N-A;N-A;AIIntegrationModule;MU-06;AIRecommendation, Alert;N-A;N-A (falta CA/HU);Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);INCOMPLETA - falta HU/CA en backlog (DR-01)
TR-21;LOPDP;Art. 7 - Consentimiento (datos del reportante);FP-08 Alertas inteligentes;Administrador;EV-01;RF-16;RF;UC-16;N-A;N-A;AIIntegrationModule;MU-06;AIRecommendation, Alert;N-A;N-A (falta CA/HU);Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);INCOMPLETA - falta HU/CA en backlog (DR-01)
TR-22;LOPDP;Art. 7 - Consentimiento (datos del reportante);FP-08 Alertas inteligentes;Jornalero;EV-04;RF-16;RF;UC-16;N-A;N-A;AIIntegrationModule;MU-06;AIRecommendation, Alert;N-A;N-A (falta CA/HU);Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);INCOMPLETA - falta HU/CA en backlog (DR-01)
TR-23;N-A;N-A;Transversal - calidad;Administrador;EV-02;RNF-01;RNF;N-A;N-A;N-A;ReportModule;N-A;Report;N-A;N-A (falta CA/HU);Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);PARCIAL - RNF transversal, criterio cuantificado ya en ERS (LB-01), sin CU/mockup por naturaleza
TR-24;N-A;N-A;Transversal - calidad;Administrador;EV-01;RNF-02;RNF;N-A;N-A;N-A;Backend API (todos);N-A;N-A (transversal);N-A;N-A (falta CA/HU);Ver ID-CA / HU_criterios_aceptacion.md (RF) o ficha RNF en el ERS (RNF/RD);PARCIAL - RNF transversal, criterio cuantificado ya en ERS (LB-01), sin CU/mockup por naturaleza
